page,country,rev_id,population,region,article_quality
Franz Schimmelpfennig von der Ove,Poland,654012510,38.368,EUROPE,Stub
Ville Korhonen (politician),Finland,655031906,5.529,EUROPE,Stub
Onni Hallsten,Finland,655032578,5.529,EUROPE,Stub
Yosia Nadiope of Busoga,Uganda,655390291,45.74100000000001,AFRICA,Stub
María del Socorro Bustamante,Colombia,655980284,49.443999999999996,LATIN AMERICA AND THE CARIBBEAN,Stub
Enrique Pintado,Uruguay,656352211,3.531,LATIN AMERICA AND THE CARIBBEAN,Stub
Instructions of the Year XIII,Uruguay,656386131,3.531,LATIN AMERICA AND THE CARIBBEAN,Stub
Governor of Gagauzia,Moldova,656737492,3.535,EUROPE,Stub
Neferkheperu-her-sekheper,Egypt,657176628,100.803,AFRICA,Start
Abeifaa Karbo,Ghana,658939122,31.073,AFRICA,Stub
Auguste Louis Antoine Fabre,France,659315526,64.94,EUROPE,Stub
Maksud Ibragimov,Tajikistan,660214915,9.429,ASIA,Start
Miguel R. Morales,Nicaragua,660579437,6.596,LATIN AMERICA AND THE CARIBBEAN,Stub
Aljoša Čampara,Bosnia-Herzegovina,660884852,3.281,EUROPE,Start
Walter Simon (philanthropist),Germany,662681733,83.3,EUROPE,Start
Abu Sayyaf (Jordan),Jordan,662927043,10.679,ASIA,Start
Torsten Nielsen,Denmark,663166199,5.829,EUROPE,Stub
Mufti Abdullah,Pakistan,663572469,220.94,ASIA,Stub
William Matthew Harries,South Africa,663617582,59.628,AFRICA,Stub
Maanu Paul,New Zealand,663783398,4.987,OCEANIA,Stub
County governor (Lithuania),Lithuania,663880497,2.7939999999999996,EUROPE,Stub
Burhan Muhammad,Indonesia,664532059,271.73900000000003,ASIA,Stub
Martim Afonso de Brito,Portugal,664669156,10.255,EUROPE,Stub
Gonghe Regency,China,664787336,1402.385,ASIA,Stub
Irshadali Sumra,Kenya,664793790,53.528,AFRICA,Stub
Koufu,China,664814622,1402.385,ASIA,Stub
Political families of Odisha,India,664822251,1400.1,ASIA,Stub
Firmin Aerts,Belgium,666029819,11.515,EUROPE,Stub
Philip Johannes Andries Watermeyer,South Africa,666610075,59.628,AFRICA,Start
Ioan Rus,Romania,666752677,19.241,EUROPE,Stub
Pieter Adrianus Ossewaarde,Netherlands,667194771,17.467,EUROPE,Stub
Christoffel van Swoll,Netherlands,667198201,17.467,EUROPE,Start
National Foundation for Women Legislators,United States,667815878,329.87800000000004,NORTHERN AMERICA,Start
Les Scheininger,Canada,667821864,38.19,NORTHERN AMERICA,C
Patrick Canning,Canada,667873261,38.19,NORTHERN AMERICA,Start
Kalina Krumova,Bulgaria,667906849,6.9270000000000005,EUROPE,Start
Pierre Chatenet,France,668091068,64.94,EUROPE,Stub
Henry Soum,Monaco,668095014,38.0,EUROPE,Stub
Brij Bhushan Mehra,India,668258382,1400.1,ASIA,Stub
Aurelian Pavelescu,Romania,668449610,19.241,EUROPE,Stub
Madut Kon Awan,South Sudan,668830946,11.194,AFRICA,Stub
Taieb Ghafes,Morocco,669266906,35.952,AFRICA,Stub
Teodor Andrault de Langeron,Poland,669301445,38.368,EUROPE,Stub
Ghassan Ashqar,Lebanon,669444168,6.825,ASIA,Stub
Magnús Orri Schram,Iceland,669565720,368.0,EUROPE,Stub
Wusu Sannoh,Sierra Leone,669571173,7.977,AFRICA,Stub
Kuri II of Kanem,Chad,669719757,16.877,AFRICA,Stub
Laroussi Mizouri,Tunisia,669831602,11.895999999999999,AFRICA,Stub
Hashid Abdullah al-Ahmar,Yemen,669833212,29.826,ASIA,Stub
Erkin Alymbekov,Kyrgyzstan,669833349,6.593999999999999,ASIA,Stub
Angelo Staniscia,Italy,669835390,60.29600000000001,EUROPE,Stub
Malik Adnan Hayat Noon,Pakistan,669841183,220.94,ASIA,Stub
Samou Seidou Adambi,Benin,669855022,12.209000000000001,AFRICA,Stub
Porfirio Smerdou,Mexico,669862709,127.792,LATIN AMERICA AND THE CARIBBEAN,Stub
Lise Nordin,Sweden,669869895,10.377,EUROPE,Stub
Fletcher Dulini,Zimbabwe,669981316,14.863,AFRICA,Stub
Krzysztof Abrahamowicz,Poland,669985109,38.368,EUROPE,Stub
Dilaver Bey,Turkey,669987106,83.73700000000001,ASIA,Stub
Horace Mann Thu-Jaune,Madagascar,670134982,27.691,AFRICA,Stub
Murad Quenili,Afghanistan,670462475,38.928000000000004,ASIA,Stub
Bir II of Kanem,Chad,670893206,16.877,AFRICA,Stub
Gerald Hill (politician),Canada,670917017,38.19,NORTHERN AMERICA,Stub
List of Presidents of Alsace,France,670960027,64.94,EUROPE,Stub
John R. O'Dea,Canada,670971940,38.19,NORTHERN AMERICA,Stub
Annaberdi Kakabaýew,Turkmenistan,671016281,6.031000000000001,ASIA,Stub
Salim Yahya al-Kharega,Yemen,671023940,29.826,ASIA,Stub
Faida Mohamed Bakar,Tanzania,671029717,59.733999999999995,AFRICA,Stub
Hosea Kiplagat,Kenya,671032132,53.528,AFRICA,Stub
Michael D. Lett,Grenada,671047987,113.0,LATIN AMERICA AND THE CARIBBEAN,Stub
Than Sina,Cambodia,671073599,15.497,ASIA,Stub
Samuel J. Hefferton,Canada,671122320,38.19,NORTHERN AMERICA,Start
Armen Rustamyan,Armenia,671189093,2.9560000000000004,ASIA,Stub
Abdulahi Ahmed Afrah,Somalia,671338098,15.892999999999999,AFRICA,Stub
Ólafur Garðar Einarsson,Iceland,671338216,368.0,EUROPE,Stub
Badar,Afghanistan,671455150,38.928000000000004,ASIA,Stub
Dušan Švantner,Slovakia,671461616,5.462000000000001,EUROPE,Stub
Óli Þorbjörn Guðbjartsson,Iceland,671462644,368.0,EUROPE,Stub
Mohammed Qalamuddin,Afghanistan,671473289,38.928000000000004,ASIA,Stub
Patrick Bourson,France,671475479,64.94,EUROPE,Stub
Lininy,Madagascar,671483959,27.691,AFRICA,Stub
Azeez Issa Adesiji,Nigeria,671511760,206.14,AFRICA,Stub
Ali al-Bahadili,Iraq,671516033,39.725,ASIA,Stub
Valerian Revenco,Moldova,671637265,3.535,EUROPE,Stub
Presidential Palace Historical Site,Vietnam,671868722,96.209,ASIA,Stub
Viktor Antonov,Russia,671890885,146.733,EUROPE,Stub
Elsa Malpartida,Peru,671891037,32.824,LATIN AMERICA AND THE CARIBBEAN,Stub
Rasoanaivo,Madagascar,671895550,27.691,AFRICA,Stub
Sadio Lamine Sow,Mali,671897239,20.250999999999998,AFRICA,Stub
Narayan Sharma Paudel,Nepal,671903264,29.996,ASIA,Stub
Mataʻiʻulua ‘i Fonuamotu,Tonga,672119030,99.0,OCEANIA,Stub
San Tun,Myanmar,672156082,54.70399999999999,ASIA,Stub
Masahiro Futahashi,Japan,672284154,125.96700000000001,ASIA,Stub
Yannis Moralis (politician),Greece,672515581,10.7,EUROPE,Stub
Macarena Escudero,Argentina,672547562,45.376999999999995,LATIN AMERICA AND THE CARIBBEAN,Stub
André Boulloche,France,672709444,64.94,EUROPE,Stub
Miroslav Poche,Czech Republic,672862914,10.716,EUROPE,Stub
Vojtěch Mynář,Czech Republic,673008587,10.716,EUROPE,Stub
Norma Colpari,Argentina,673393730,45.376999999999995,LATIN AMERICA AND THE CARIBBEAN,Stub
Roosevelt Jayjay,Liberia,674487383,5.058,AFRICA,Stub
Joshua Nii Laryea Afotey-Agbo,Ghana,674576443,31.073,AFRICA,Stub
Military Committee of the Congolese Party of Labour,Congo,674702694,5.518,AFRICA,Stub
Ahmad bin Eid al-Thani,Qatar,675271208,2.839,ASIA,Stub
Liga Federal,Uruguay,675303236,3.531,LATIN AMERICA AND THE CARIBBEAN,C
George Samuel Ranglin,Jamaica,675376529,2.8089999999999997,LATIN AMERICA AND THE CARIBBEAN,Stub
Rubén Pellanda,Argentina,676040670,45.376999999999995,LATIN AMERICA AND THE CARIBBEAN,Stub
Raúl Lacabanne,Argentina,676043559,45.376999999999995,LATIN AMERICA AND THE CARIBBEAN,Stub
Juan Carlos Reyes (governor),Argentina,676044272,45.376999999999995,LATIN AMERICA AND THE CARIBBEAN,Stub
Bernardo Bas,Argentina,676498385,45.376999999999995,LATIN AMERICA AND THE CARIBBEAN,Stub
Alexander Dunphy,Canada,676610041,38.19,NORTHERN AMERICA,Stub
Gordon Dawe,Canada,676612108,38.19,NORTHERN AMERICA,Stub
Bijai Prasad,Fiji,676661990,896.0,OCEANIA,Stub
Barton Scotland,Guyana,676691070,787.0,LATIN AMERICA AND THE CARIBBEAN,Stub
Paul Thoms,Canada,676732644,38.19,NORTHERN AMERICA,Stub
Frederick B. Rowe,Canada,676734572,38.19,NORTHERN AMERICA,Stub
Allan Evans (politician),Canada,676782180,38.19,NORTHERN AMERICA,Stub
Asesela Sadole,Fiji,676841743,896.0,OCEANIA,Stub
Luke Woodrow,Canada,676947124,38.19,NORTHERN AMERICA,Stub
William G. Patterson,Canada,677094551,38.19,NORTHERN AMERICA,Stub
Simeon Bouro,Solomon Islands,677317570,715.0,OCEANIA,Start
Salisu Buhari,Nigeria,677435096,206.14,AFRICA,Stub
Hou Zongbin,China,677516121,1402.385,ASIA,Stub
Jorge Zavala,Ecuador,677523953,17.511,LATIN AMERICA AND THE CARIBBEAN,Stub
Harry Quaderer,Liechtenstein,677568976,39.0,EUROPE,Stub
Freeman White (politician),Canada,677724847,38.19,NORTHERN AMERICA,Stub
Leneuoti Matusi,Tuvalu,677747943,0.01,OCEANIA,Stub
Second Toafa Ministry,Tuvalu,677750304,0.01,OCEANIA,Start
William J. MacNeil,Canada,677769770,38.19,NORTHERN AMERICA,Stub
Miguel Cané,Argentina,677786528,45.376999999999995,LATIN AMERICA AND THE CARIBBEAN,Start
Gabriel Antonio Pereira,Uruguay,677974642,3.531,LATIN AMERICA AND THE CARIBBEAN,Stub
Wilhelm Wallbaum,Germany,678140107,83.3,EUROPE,Stub
List of São Toméan politicians,Sao Tome and Principe,678440540,0.21,AFRICA,Stub
Larbi Messari,Morocco,678532348,35.952,AFRICA,Start
Sergey Zorin,Russia,678595657,146.733,EUROPE,Stub
Fakhrul Islam,Pakistan,678638092,220.94,ASIA,Stub
Cora Amalia Castilla,Mexico,678721991,127.792,LATIN AMERICA AND THE CARIBBEAN,Stub
Victor Macky,New Zealand,679247120,4.987,OCEANIA,Start
Mohamed Mohamud Hayd,Somalia,679509452,15.892999999999999,AFRICA,Stub
Sergey Kalyakin,Belarus,679547012,9.375,EUROPE,Stub
List of Slovenian politicians,Slovenia,679559247,2.103,EUROPE,Stub
Mateo Vidal,Uruguay,679591301,3.531,LATIN AMERICA AND THE CARIBBEAN,Stub
John Collins (Canadian politician),Canada,679623758,38.19,NORTHERN AMERICA,Stub
Osea Gavidi,Fiji,679873929,896.0,OCEANIA,Start
Cui Yuying,China,680016822,1402.385,ASIA,Start
Abdul Rahim Ishak,Singapore,680036029,5.769,ASIA,Start
Gumercinda Páez,Panama,680071857,4.283,LATIN AMERICA AND THE CARIBBEAN,GA
Des Dalton,Ireland,680161213,5.003,EUROPE,Start
Claude Pivi,Guinea,680174895,12.56,AFRICA,Stub
Bernardo Grinspun,Argentina,680370867,45.376999999999995,LATIN AMERICA AND THE CARIBBEAN,Stub
Michael Konelios,Marshall Islands,680614363,57.0,OCEANIA,Stub
Malik Khuda Buksh Tiwana,Pakistan,680618398,220.94,ASIA,Stub
Barry Hynes,Canada,680618797,38.19,NORTHERN AMERICA,Stub
"Domonkos II, Archbishop of Esztergom",Hungary,680629551,9.767000000000001,EUROPE,Stub
Veríssimo Aguiar Cabral,Portugal,680680191,10.255,EUROPE,Stub
Federico Policani,Panama,680722683,4.283,LATIN AMERICA AND THE CARIBBEAN,Stub
Alexander Barybin,Russia,680886613,146.733,EUROPE,Stub
Hossam Arafat (politician),Palestinian Territory,680933208,5.008,ASIA,Stub
Book:Australian Prime Ministers,Australia,680981536,25.754,OCEANIA,Stub
Laura Alvarez,United Kingdom,681177706,67.16,EUROPE,Stub
Mirosław Czech,Poland,681605695,38.368,EUROPE,Stub
Poli Karastoyanova,Bulgaria,682145001,6.9270000000000005,EUROPE,Start
Actisanes,Ethiopia,682149007,114.916,AFRICA,Stub
Azhar Cachalia,South Africa,682166816,59.628,AFRICA,Stub
Simona-Alice Man,Romania,682928660,19.241,EUROPE,Stub
Jerônima Mesquita,Brazil,683020488,211.812,LATIN AMERICA AND THE CARIBBEAN,Stub
Jose Solis,Philippines,683282915,109.581,ASIA,Stub
Viriato Fiallo,Dominican Republic,683417360,10.5,LATIN AMERICA AND THE CARIBBEAN,Start
Rodolfo Gabrielli,Argentina,683631802,45.376999999999995,LATIN AMERICA AND THE CARIBBEAN,Stub
Eli Wong,Malaysia,683715284,32.781,ASIA,Stub
Horácio de Matos,Brazil,683946857,211.812,LATIN AMERICA AND THE CARIBBEAN,Stub
Brendan Howard,Canada,684050793,38.19,NORTHERN AMERICA,Stub
Benigno Andrade Flores,Ecuador,684060626,17.511,LATIN AMERICA AND THE CARIBBEAN,Stub
Yury Zaostrovtsev,Russia,684179656,146.733,EUROPE,Stub
Patrick Mutono,Uganda,684295893,45.74100000000001,AFRICA,Stub
Giuseppe Fenaroli Avogadro,Italy,684464777,60.29600000000001,EUROPE,Stub
Afonso Pedro Canga,Angola,684499128,32.522,AFRICA,Stub
Wilhelm von Wedell-Piesdorf,Germany,684525811,83.3,EUROPE,Stub
Hans Graf von Schwerin-Löwitz,Germany,684537777,83.3,EUROPE,Stub
Geoff Muntz,Australia,684542057,25.754,OCEANIA,Start
Martiros Sarukhanyan,Armenia,684660655,2.9560000000000004,ASIA,Stub
Maria del Pilar Hurtado,Colombia,684804678,49.443999999999996,LATIN AMERICA AND THE CARIBBEAN,Stub
Giovanni Bovara,Italy,684821806,60.29600000000001,EUROPE,Start
Zvonimir Mršić,Croatia,684859066,4.02,EUROPE,Stub
Julius Muthamia,Kenya,684879320,53.528,AFRICA,Start
Wilson Callan,Canada,684903534,38.19,NORTHERN AMERICA,Stub
Rod Moores,Canada,684903869,38.19,NORTHERN AMERICA,Stub
Georges Adwan,Lebanon,685116600,6.825,ASIA,Stub
Muhammad Musa al-Amri,Yemen,685320824,29.826,ASIA,Start
Murray Hill Incorporated,United States,685347694,329.87800000000004,NORTHERN AMERICA,Stub
Aníbal Diniz,Brazil,685720694,211.812,LATIN AMERICA AND THE CARIBBEAN,Stub
Slaheddine Ben Mbarek,Tunisia,686050095,11.895999999999999,AFRICA,Stub
Ali Fawzi Rebaine,Algeria,686269631,44.357,AFRICA,Stub
Jochen Ott,Germany,686349441,83.3,EUROPE,Stub
Aleksander Miller,Poland,686375687,38.368,EUROPE,Stub
Sergei Gaidukevich,Belarus,686406513,9.375,EUROPE,Stub
President of Taiwan,Taiwan,686619225,23.61,ASIA,Stub
Siosifa Tuʻitupou Tuʻutafaiva,Tonga,686777395,99.0,OCEANIA,Start
Qandil Cabinet,Egypt,687093229,100.803,AFRICA,C
Ivo Andrić-Lužanski,Bosnia-Herzegovina,687109778,3.281,EUROPE,Stub
Raúl Borrás,Argentina,687130572,45.376999999999995,LATIN AMERICA AND THE CARIBBEAN,Stub
Roque Carranza,Argentina,687134370,45.376999999999995,LATIN AMERICA AND THE CARIBBEAN,Stub
Germán López (politician),Argentina,687138552,45.376999999999995,LATIN AMERICA AND THE CARIBBEAN,Stub
Electoral history of Mohammad Khatami,Iran,687159388,84.15,ASIA,Start
Electoral history of Mahmoud Ahmadinejad,Iran,687159391,84.15,ASIA,Start
Electoral history of Ali Larijani,Iran,687159546,84.15,ASIA,Start
Meng Xiangwei,China,687160422,1402.385,ASIA,Stub
House of Theemuge,Maldives,687285060,541.0,ASIA,Stub
Ata Messan Ajavon Zeus,Togo,687492743,8.279,AFRICA,Stub
John Rogers (Irish lawyer),Ireland,687613810,5.003,EUROPE,Stub
Mustafa Osman Obeid Salim,Sudan,687837173,43.849,AFRICA,Stub
Tito Hoz de Vila,Bolivia,687882717,11.633,LATIN AMERICA AND THE CARIBBEAN,Start
Alexandré Barro Chambrier,Gabon,688145583,2.231,AFRICA,Start
Md. Moniruzzaman Moni,Bangladesh,688430552,169.80900000000003,ASIA,Stub
Benjamin Green Freeman,Liberia,688501356,5.058,AFRICA,Stub
Han Tha Myint,Myanmar,688524967,54.70399999999999,ASIA,Stub
Willem Buys,Netherlands,688537236,17.467,EUROPE,Stub
Joseph Gustave Ernest Allard,Belgium,688590526,11.515,EUROPE,Stub
Takis Papageorgopoulos,Greece,688695923,10.7,EUROPE,Stub
List of 2010 Canadian incumbents,Canada,688697227,38.19,NORTHERN AMERICA,Start
Zhu Haowen,China,688763099,1402.385,ASIA,Stub
Abu Samah Mohd Kassim,Malaysia,689248087,32.781,ASIA,Stub
Stanislaus Okurut,Uganda,689614169,45.74100000000001,AFRICA,Stub
Ilmi Hallsten,Finland,689893447,5.529,EUROPE,Stub
Zhao Dezun,China,689932213,1402.385,ASIA,Stub
Mario Occhiuto,Italy,689944992,60.29600000000001,EUROPE,Stub
Leszek Deptuła,Poland,689950541,38.368,EUROPE,Stub
Sergei Walter,Ukraine,690074710,41.778,EUROPE,Start
"Péter Szilágyi (politician, 1981)",Hungary,690152474,9.767000000000001,EUROPE,Start
Harold Collins (Canadian politician),Canada,690205437,38.19,NORTHERN AMERICA,Stub
R. G. Balan,Malaysia,690430012,32.781,ASIA,Stub
Vítor Aleixo,Portugal,690548204,10.255,EUROPE,Stub
Tuomas Pohjanpalo,Finland,690700220,5.529,EUROPE,Stub
Zhang Chang (Han),China,690768683,1402.385,ASIA,Stub
Lei Chunmei,China,690770856,1402.385,ASIA,Stub
Franci Slak,Slovenia,691045510,2.103,EUROPE,Start
Abdus Sattar Mondal,Bangladesh,691201135,169.80900000000003,ASIA,Stub
Bashir Saadawi,Libya,691346630,6.891,AFRICA,Stub
Igwe Aja-Nwachukwu,Nigeria,691389889,206.14,AFRICA,Stub
Speaker of the Legislative Assembly of the Province of Canada,Canada,691747234,38.19,NORTHERN AMERICA,Stub
Josif Pashko,Albania,692123101,2.838,EUROPE,Stub
Ahmed Jamsheed Mohamed,Maldives,692141335,541.0,ASIA,Stub
Kerfalla Yansané,Guinea,692173141,12.56,AFRICA,Stub
Amadou Konare,Mali,692298286,20.250999999999998,AFRICA,Stub
João Alberto de Souza,Brazil,692475749,211.812,LATIN AMERICA AND THE CARIBBEAN,Stub
Mote Terukaio,Kiribati,692502721,125.0,OCEANIA,Stub
Tekiau Aretaateta,Kiribati,692502986,125.0,OCEANIA,Stub
Marie-José Laloy,Belgium,692684868,11.515,EUROPE,Stub
Émile Marie Laurent,France,693011077,64.94,EUROPE,Stub
Mahamat Hissene,Chad,693055898,16.877,AFRICA,Stub
Rafael Tobias de Aguiar,Brazil,693179500,211.812,LATIN AMERICA AND THE CARIBBEAN,Stub
Phạm Thị Trân Châu,Vietnam,693208023,96.209,ASIA,Stub
David Pacha,Solomon Islands,693211421,715.0,OCEANIA,Stub
Charles Oboth Ofumbi,Uganda,693292931,45.74100000000001,AFRICA,Start
Lu Ruilin,China,693336296,1402.385,ASIA,Stub
Lalbuaia,India,693337130,1400.1,ASIA,Stub
Ian Brossat,France,693338177,64.94,EUROPE,Stub
Yuan Baocheng,China,693354280,1402.385,ASIA,Stub
Pumla Kisosonkole,Uganda,693388584,45.74100000000001,AFRICA,Start
Ivo Nesrovnal,Slovakia,693431430,5.462000000000001,EUROPE,Stub
Pekka Pesola,Finland,693514155,5.529,EUROPE,Stub
Jean Capelle (politician),France,693552292,64.94,EUROPE,Stub
Magnús Norðdahl,Iceland,693573541,368.0,EUROPE,Stub
Li Zaihe,China,693661018,1402.385,ASIA,Stub
Guillermo Montenegro,Argentina,693714773,45.376999999999995,LATIN AMERICA AND THE CARIBBEAN,Stub
Khas-Ochiryn Luvsandorj,Mongolia,693721533,3.361,ASIA,Stub
Michele Columbu,Italy,693748230,60.29600000000001,EUROPE,Stub
Li Sancai,China,693817205,1402.385,ASIA,C
Martin Zephyr,Guyana,694039903,787.0,LATIN AMERICA AND THE CARIBBEAN,Stub
Khadyr Saparlyev,Turkmenistan,694084978,6.031000000000001,ASIA,Stub
Arouna Mama,Benin,694112087,12.209000000000001,AFRICA,Stub
List of Dutch politicians,Netherlands,694313944,17.467,EUROPE,B
Robert Bohn Sikol,Vanuatu,694335820,321.0,OCEANIA,C
Javier Reátegui,Peru,694337217,32.824,LATIN AMERICA AND THE CARIBBEAN,Stub
Mamadou Djigué,Mali,694364743,20.250999999999998,AFRICA,Stub
